ID,EMPRESA,ANO,DISTRIBUICAO_DO_VALOR_ADICIONADO,RECEITAS,RESULTADO_FINANCEIRO,DESPESAS_RECEITAS_OPERACIONAIS,CUSTO_DOS_BENS_OU_SERVICOS_VENDIDOS,IMPOSTOS_ESTADUAIS,RECEITA_VENDAS_BENS_OU_SERVICOS
100,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2009,15440138.0,27037574.0,-3638097.0,-17883163.0,-3896669.0,0.0,25831183.0
100,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2010,15939588.0,31015307.0,-364123.0,-21137374.0,-4265905.0,0.0,29814652.0
100,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2011,17716825.0,34248491.0,234453.0,-23719982.0,-4715747.0,0.0,33061356.0
100,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2012,6160137.0,39583627.0,632509.0,-42013112.0,-5474384.0,0.0,39538861.0
100,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2013,8984118.0,28186399.0,265946.0,-29026287.0,-4350755.0,0.0,28186399.0
100,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2014,13486320.0,35626308.0,694625.0,-15874104.0,-16327359.0,0.0,30244854.0
100,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2015,19951059.0,43225876.0,-1699025.0,-28141800.0,-16991559.0,0.0,32588838.0
100,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2016,43633371.0,70987912.0,-5929311.0,-26584513.0,-16210934.0,0.0,60748853.0
100,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2017,24521165.0,45469887.0,-5193296.0,-17509488.0,-15373638.0,2249541.0,37876024.0
100,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2018,42596900.0,45747570.0,-578073.0,-1150273.0,-5537063.0,2285625.0,24975747.0
100,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2019,29277475.0,36111186.0,-2081026.0,-12498076.0,-6777819.0,1178644.0,27725527.0
100,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2020,21108699.0,38651704.0,-1671646.0,-12496970.0,-7959251.0,995304.0,29080513.0
101,CIA ENERGETICA DE BRASILIA,2009,868978.0,1749571.0,-48900.0,-947839.0,-554592.0,296064.0,1635062.0
101,CIA ENERGETICA DE BRASILIA,2010,953538.0,1928104.0,-43596.0,-1112310.0,-643326.0,337526.0,1839320.0
101,CIA ENERGETICA DE BRASILIA,2011,1109771.0,2135078.0,-63570.0,-163764.0,-1069722.0,374641.0,1377619.0
101,CIA ENERGETICA DE BRASILIA,2012,1237565.0,2397093.0,66541.0,-270137.0,-1303059.0,409622.0,1628678.0
101,CIA ENERGETICA DE BRASILIA,2013,884129.0,2166535.0,-3430.0,-260009.0,-1390112.0,365703.0,1608673.0
101,CIA ENERGETICA DE BRASILIA,2014,896183.0,2791780.0,-10338.0,-295881.0,-1808124.0,401482.0,2122783.0
101,CIA ENERGETICA DE BRASILIA,2015,2062341.0,4005147.0,-109367.0,-196368.0,-1973256.0,638552.0,2427203.0
101,CIA ENERGETICA DE BRASILIA,2016,1910499.0,3650247.0,-36742.0,-141451.0,-1836430.0,679835.0,2114554.0
101,CIA ENERGETICA DE BRASILIA,2017,1969896.0,4199555.0,61058.0,-263559.0,-2214987.0,669362.0,2720486.0
101,CIA ENERGETICA DE BRASILIA,2018,1863446.0,4054053.0,-113051.0,-143956.0,-2209898.0,726246.0,2590210.0
101,CIA ENERGETICA DE BRASILIA,2019,2071063.0,4291155.0,-47366.0,-238528.0,-2257935.0,796643.0,2749738.0
101,CIA ENERGETICA DE BRASILIA,2020,582277.0,289844.0,500.0,6508.0,-130357.0,1871.0,255178.0
102,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,2017,4065.0,0.0,5799.0,-1098.0,0.0,0.0,0.0
102,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,2018,7610.0,7974.0,1734.0,-2098.0,0.0,0.0,7974.0
102,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,2019,2200.0,9454.0,-256.0,-6998.0,0.0,0.0,9454.0
102,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,2020,14174.0,30809.0,3137.0,-20944.0,0.0,3.0,30809.0
103,LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.,2020,182679.0,556636.0,-87141.0,-31356.0,-349906.0,87.0,523459.0
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2009,74548.0,198056.0,-39405.0,-8687.0,-21057.0,0.0,76643.0
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2010,103177.0,223500.0,-37605.0,-9512.0,-52689.0,0.0,112149.0
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2011,109870.0,234173.0,-47646.0,-15905.0,-73833.0,0.0,143403.0
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2012,105084.0,212406.0,-85214.0,-48362.0,-90989.0,0.0,198227.0
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2013,129600.0,232480.0,-112453.0,-36727.0,-103650.0,0.0,211340.0
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2014,145123.0,228187.0,-100080.0,-23124.0,-106698.0,0.0,214258.0
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2015,158698.0,293475.0,-124035.0,-70958.0,-114551.0,0.0,277427.0
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2016,102874.0,290571.0,-43129.0,-105696.0,-107860.0,0.0,275164.0
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2017,89331.0,310808.0,-34772.0,-90827.0,-183070.0,0.0,310808.0
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2018,171615.0,314546.0,-26206.0,-50122.0,-141655.0,0.0,314546.0
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2019,206530.0,468204.0,-39559.0,-106550.0,-218842.0,0.0,438070.0
104,STATKRAFT ENERGIAS RENOVAVEIS S.A.,2020,230307.0,513608.0,-56157.0,-108901.0,-238307.0,885.0,477180.0
105,AMERICANAS S.A.,2009,725377.0,4353485.0,-279492.0,-686864.0,-2570035.0,96508.0,3632580.0
105,AMERICANAS S.A.,2010,727882.0,4735499.0,-360864.0,-725276.0,-2937529.0,47442.0,4073569.0
105,AMERICANAS S.A.,2011,694282.0,4696963.0,-372024.0,-823044.0,-3172480.0,43079.0,4232137.0
105,AMERICANAS S.A.,2012,654096.0,5409895.0,-420217.0,-985617.0,-3666975.0,38790.0,4812439.0
105,AMERICANAS S.A.,2013,945641.0,7012506.0,-512872.0,-1234505.0,-4581025.0,74220.0,6088500.0
105,AMERICANAS S.A.,2014,1335555.0,9098558.0,-650450.0,-1561851.0,-6035345.0,59651.0,7963835.0
105,AMERICANAS S.A.,2015,1658001.0,10467369.0,-818323.0,-1375373.0,-7226275.0,72502.0,9013779.0
105,AMERICANAS S.A.,2016,1411214.0,10471801.0,-1084278.0,-1351051.0,-6889181.0,-133567.0,8601311.0
105,AMERICANAS S.A.,2017,1562489.0,8717140.0,-868541.0,-1318044.0,-5554882.0,289104.0,7120777.0
105,AMERICANAS S.A.,2018,1286656.0,8013261.0,-566334.0,-1697738.0,-4813573.0,345750.0,6488473.0
105,AMERICANAS S.A.,2019,1494301.0,8320934.0,-566351.0,-1907973.0,-4756354.0,346796.0,6767982.0
105,AMERICANAS S.A.,2020,1731773.0,12555937.0,-430176.0,-2696518.0,-7247256.0,625134.0,10124347.0
106,ENERGISA S.A.,2009,1904756.0,2936096.0,-3935.0,-247926.0,-1349505.0,543566.0,1996572.0
